,,Данные по общеобразовательным школам Ыссык-Кульской области,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"№ 
п/п",Наименование школы,Адрес школы,Ф.И.О директора,"Числен-сть 
учащихся","Числен-ть 
учителей","Объем финансовых средств на 2014 год, в том числе:",,,"Наличие 
попечительских 
советов",,,,,,,
,,,,,,Всего,"Республик.
бюджет","Местный
бюджет",,,,,,,,
,Тюпский  район,,,,,,,,,,,,,,,
21,Сш имени Т. Мырзамамбетов ,с. Тогуз- Булак ул. А.Асанов № 26   ,Осконбаева      Чолпон Асангуловна 773047195,173,23,6401,5749.2, -,+,,,,,,,
22,Сш имени К. Иманалиев ,с. Конур-Олон ул. У.Касмакунов №3,Токтоев  Догдурбек   Адисович 777367798,266,27,4449.8,3798, -, -,,,,,,,
23, Сш имени  С.Эркинбаев ,с. Шор-Булак ул. К.Мукашова №59    ,Эркинбаев Нуркул  Орозобекович 0777358573,226,24,3219.1,2567.3,-, -,,,,,,,
24, Сш имени Б.Алаков ,с.Кара-Талаа ул.Ажыбаева №11    ,Кукеев Суйорбек 773373290,449,39,5649.8,4998, -, -,,,,,,,
25, Сш имени  М. Мамбетов ,с. Оттук. ул. О.Чолпонкул№54,Атантаев Жетимиш 773662011,327,31,4516.3,3864.5, -, -,,,,,,,
26,Сш имени Сагынтай ,с. Туура-Суу ул. Государственный № б/н    , Тыналиева Динара 773355705,117,26,3450.7,2798.9, -, -,,,,,,,
27,Сш имени Т.Салыкбаев,с.Кара-Шаар ул. Абдрасул №1       ,Мусаев Сейитбек 555692013,203,18,3057.9,2406.1, -, -,,,,,,,
28,Сш имени С.Каралаев,с.Ак- Олон ул. 8-март №8        ,"Таабалдиева Нурила 
0777 64 42 43",352,35,4761.3,4109.5, -, -,,,,,,,
29,Сш с. Кок-Мойнок -1,с. Кок-Мойнок-1. ул.Ишенбай №4,Элалов Бакыт 779546804,163,21,3132.8,2481, -, - ,,,,,,,
30,Сш с.Кок-Мойнок-2,с. Кок-Мойнок-2. ул.Насирдинов №3,Салакунова Светлана 773659550,101,11,2294.2,1642, -, - ,,,,,,,
,Итого по школам Тонского района:,,,9834,974,155301.1,135746.7,0,"7 ""+"" 
23 ""-""",,,,,,,
,Ак-Суйский район Иссык-Кульская область ,,,,,,,,,,,,,,,
1,Сш. им. Сыдыкбекова,721801 с. Зындан ул. Жаналиева №78,Койлубаева Журсун Калиевна 0777-58-92-90,262,24,3590.8,3428.4,162.4,-,,,,,,,
2,Сш. им. Ы.Туманова,"721801, с.Ак-Булун ул. Ажына б/№",Курманалиева Салтанат Амановна 0772-67-51-60,448,33,6060.6,5791.4,269.2,+,,,,,,,
3,Сш. им. Качыбек,721810 с. Качыбек ул. Ленина б/№,Аманкалиев Данияр Таалайбекович                                  0779-78-39-67,192,16,2875.9,2432.9,443.0,-,,,,,,,
4,Сш. им. Ракымова  Кызыл-Жар,721802 с. Акчий ул. Жениш б/№,Чолокова Анаркул Ишеновна  0777-41-92-75,321,26,5130.3,4592.3,538.0,-,,,,,,,
5, Сш. Кызыл-Кыя,722353с. Советское ул. Сартбая№60,Абдылдаев Кадырбек Тынайбекович                                      0778-90-28-90,189,22,3779.7,3215.7,564.0,-,,,,,,,
